id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2022861,Fanti-Sea beach studio with a view!   OCEAN VIEW!!,10341402,Jeanell,,Unincorporated Areas,36.97596,-121.92451,Private room,325,1,192,2022-09-11,1.81,3,354,26,
2051278,Bright & Lovely Room in Santa Cruz,9711805,Vanessa & Chrissy,,Unincorporated Areas,36.9933,-121.97718,Private room,79,1,5,2022-06-12,0.09,1,0,2,
2056872,Downtown Santa Cruz Adventure,4622744,Ahnalisa,,City of Santa Cruz,36.97049,-122.02523,Entire home/apt,364,1,459,2022-09-11,4.34,1,328,50,
2131819,The Joy of Coastal Mountain Living!,10041181,Howard,,Unincorporated Areas,37.04506,-122.14874,Entire home/apt,235,2,324,2022-09-06,3.19,3,73,48,
2144665,Copper Tub Cottage,8049432,Sarai Thomas Peggy (In Memory),,Unincorporated Areas,37.00231,-121.95377,Private room,130,1,572,2020-03-10,5.45,1,2,0,
2150339,"Work, Play & Stay by the Beach... Suite B",10974040,J.R.,,Unincorporated Areas,36.98119,-121.92326,Entire home/apt,121,3,309,2022-09-13,2.95,2,340,43,
2159387,Christine's Cottage,11018734,Christine,,City of Capitola,36.97222,-121.9707,Entire home/apt,171,1,649,2022-09-12,6.23,1,18,61,
2256771,Natural Bridges Beach House **30 Day Minimum** ASK,11524829,Susan,,City of Santa Cruz,36.95286,-122.05531,Entire home/apt,675,30,7,2019-08-15,0.09,1,0,0,
2314064,Aloha Apartment w/Spa,11816408,Matthew,,City of Santa Cruz,36.95609,-122.02805,Entire home/apt,305,2,469,2022-09-12,4.51,1,340,42,
2326597,Romantic Hilltop Hideaway,6560497,Rebecca,,Unincorporated Areas,37.04673,-122.10733,Entire home/apt,200,1,123,2020-03-01,1.99,3,255,0,
2461650,Private Room with garden view- 30 days minimum,12586608,Caro,,City of Santa Cruz,36.98695,-122.01068,Entire home/apt,50,30,181,2022-07-31,1.74,1,118,4,
2483297,"Private, Cozy, Quiet, Westside SC Cottage",12705485,Beth,,City of Santa Cruz,36.97421,-122.03983,Entire home/apt,181,30,435,2022-08-28,4.19,1,234,7,
2566638,Cute Downtown Cottage,13141810,Santa Cruz Guy,,City of Santa Cruz,36.97197,-122.03104,Entire home/apt,225,6,17,2022-07-24,0.20,1,24,1,
2764760,Sunny redwood forest cottage,5620286,Ellen,,Unincorporated Areas,37.08095,-122.09,Entire home/apt,205,1,701,2022-09-26,6.82,1,95,102,
2777595,"Boardwalk Beach Oasis,2min walk to Beach~2bd/2bth",14175116,Laura,,City of Santa Cruz,36.96479,-122.02232,Entire home/apt,307,1,452,2022-09-13,4.55,2,319,78,
2777663,Aptos Casita near Rio Del Mar Beach: clean & quiet,9110967,Scott,,Unincorporated Areas,36.97187805175781,-121.90620422363281,Entire home/apt,263,7,62,2022-09-11,0.61,1,29,10,
2809695,Bonny Doon Mountain Retreat,14371426,Yvette,,Unincorporated Areas,37.03385,-122.14401,Entire home/apt,350,2,12,2015-10-19,0.13,1,270,0,
2817824,Aptos Beach House-perfect getaway!,14414366,Betty,,Unincorporated Areas,36.97142,-121.90433,Entire home/apt,232,3,237,2022-09-12,2.47,1,112,25,
2867614,The Cowgirl Room at FlipJack Ranch,14658925,Robin,,Unincorporated Areas,37.03662,-122.14608,Private room,329,2,158,2022-07-31,1.57,4,52,26,
2979438,"Steps to Sunny Cove! Starbucks, WiFi, family fun!",15196738,Ansel'S Getaway,,Unincorporated Areas,36.9625,-121.99043,Entire home/apt,416,2,61,2022-08-20,0.77,1,325,12,
3084796,Seabright Contemporary Studio,4549298,Anina,,City of Santa Cruz,36.97459,-122.00339,Entire home/apt,132,10,52,2022-08-20,0.51,1,266,9,
3193555,Victorian by the Sea,16186915,Nicole,,City of Santa Cruz,36.96541,-122.02425,Entire home/apt,614,3,38,2022-07-05,0.44,1,238,12,
